gruschowNorth,1,MaizeBiomass,7/14/25,45.917,3.027,-77.59630965,42.90402088
gruschowNorth,2,MaizeBiomass,7/14/25,44.385,2.932,-77.59587991,42.90343487
gruschowNorth,3,MaizeBiomass,7/14/25,44.971,2.772,-77.59610752,42.90293074
gruschowNorth,4,MaizeBiomass,7/14/25,45.117,2.461,-77.59611327,42.90139533
gruschowNorth,5,MaizeBiomass,7/14/25,NA,NA,-77.59609178,42.90053769
gruschowNorth,6,MaizeBiomass,7/14/25,44.789,2.687,-77.59542183,42.90012797
gruschowNorth,7,MaizeBiomass,7/14/25,43.727,2.919,-77.59508059,42.90060291
gruschowNorth,8,MaizeBiomass,7/14/25,44.356,2.692,-77.59500968,42.90156137
gruschowNorth,9,MaizeBiomass,7/14/25,45.482,2.588,-77.59575074,42.90243287
gruschowNorth,10,MaizeBiomass,7/14/25,44.629,2.799,-77.59585169,42.90391475
gruschowSouth,1,MaizeBiomass,7/14/25,43.587,3.794,-77.59382911,42.88087109
gruschowSouth,2,MaizeBiomass,7/14/25,44.506,3.985,-77.5940972,42.88103277
gruschowSouth,3,MaizeBiomass,7/14/25,43.992,3.648,-77.59483196,42.88094361
gruschowSouth,4,MaizeBiomass,7/14/25,45.067,3.423,-77.59576358,42.88120517
gruschowSouth,5,MaizeBiomass,7/14/25,NA,NA,-77.59720025,42.88091106
gruschowSouth,6,MaizeBiomass,7/14/25,44.089,3.389,-77.59765509,42.88164453
gruschowSouth,7,MaizeBiomass,7/14/25,44.122,3.954,-77.59704197,42.88209987
gruschowSouth,8,MaizeBiomass,7/14/25,NA,NA,-77.59620736,42.88186501
gruschowSouth,9,MaizeBiomass,7/14/25,44.435,3.933,-77.59557694,42.88206618
gruschowSouth,10,MaizeBiomass,7/14/25,44.235,2.79,-77.59449833,42.88180025
gruschowNorth,1,CoverCrop,,45.336,2.87,,
gruschowNorth,2,CoverCrop,,45.031,1.958,,
gruschowNorth,3,CoverCrop,,43.893,1.46,,
gruschowNorth,4,CoverCrop,,42.381,1.915,,
gruschowNorth,5,CoverCrop,,42.396,1.915,,
gruschowSouth,1,CoverCrop,,46.652,2.428,,
gruschowSouth,2,CoverCrop,,46.272,2.353,,
gruschowSouth,3,CoverCrop,,46.276,2.177,,
gruschowSouth,4,CoverCrop,,45.54,2.185,,
gruschowSouth,5,CoverCrop,,47.494,2.198,,
